Value,Name,Stack Size,Effect,Locations,"","","","","","",Drop Restrictions
0.4,"=HYPERLINK(""https://pathofexile.gamepedia.com/Lantador%27s_Lost_Love"",  ""Lantador's Lost Love"")",7,"=HYPERLINK(""https://pathofexile.gamepedia.com/Two-Stone_Ring"",  ""Two-Stone Ring"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Twilight_Strand_(Act_6)"",  ""The Twilight Strand (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Riverways_(Act_6)"",  ""The Riverways (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Wetlands_(Act_6)"",  ""The Wetlands (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Southern_Forest_(Act_6)"",  ""The Southern Forest (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Cavern_of_Anger_(Act_6)"",  ""The Cavern of Anger (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Beacon"",  ""The Beacon"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Brine_King%27s_Reef"",  ""The Brine King's Reef"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Tidal_Island_(Act_6)"",  ""The Tidal Island (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Mud_Flats_(Act_6)"",  ""The Mud Flats (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Karui_Fortress"",  ""The Karui Fortress"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Ridge"",  ""The Ridge"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Lower_Prison_(Act_6)"",  ""The Lower Prison (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Shavronne%27s_Tower"",  ""Shavronne's Tower"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Prisoner%27s_Gate_(Act_6)"",  ""Prisoner's Gate (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Western_Forest_(Act_6)"",  ""The Western Forest (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Maelstr%C3%B6m_of_Chaos_(Betrayal)"",  ""Maelström of Chaos"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Lighthouse_Map_(Betrayal)"",  ""Lighthouse Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Mineral_Pools_Map_(Betrayal)"",  ""Mineral Pools Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Reef_Map_(Betrayal)"",  ""Reef Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Underground_Sea_Map_(Betrayal)"",  ""Underground Sea Map"")",N/A
4.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/Last_Hope"",  ""Last Hope"")",3,"=HYPERLINK(""https://pathofexile.gamepedia.com/Mortal_Hope"",  ""Mortal Hope"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Vaal_Temple_Map_(Betrayal)"",  ""Vaal Temple Map"")","","","","","","",N/A
6.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/Left_to_Fate"",  ""Left to Fate"")",4,"=HYPERLINK(""https://pathofexile.gamepedia.com/index.php?title=Unidentified_Corrupted&action=edit&redlink=1"",  ""MapMap Tier: 16Unidentified Corrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Pale_Court"",  ""The Pale Court"")","","","","","","",N/A
0.49,"=HYPERLINK(""https://pathofexile.gamepedia.com/Light_and_Truth"",  ""Light and Truth"")",2,"=HYPERLINK(""https://pathofexile.gamepedia.com/Crystal_Sceptre"",  ""Crystal Sceptre"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Upper_Sceptre_of_God"",  ""The Upper Sceptre of God"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Residence_Map_(Betrayal)"",  ""Residence Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Villa_Map_(Betrayal)"",  ""Villa Map"")","","","","",N/A
4.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/Lingering_Remnants"",  ""Lingering Remnants"")",16,"=HYPERLINK(""https://pathofexile.gamepedia.com/Vaal_Temple_Map_(War_for_the_Atlas)"",  ""Vaal Temple MapItem Level: 83Corrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Dig_Map_(Betrayal)"",  ""Dig Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Ghetto_Map_(Betrayal)"",  ""Ghetto Map"")","","","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/Lost_Worlds"",  ""Lost Worlds"")",8,"=HYPERLINK("""",  ""MapMap Tier: 15"")","","","","","","","",Sold by Zana
0.83,"=HYPERLINK(""https://pathofexile.gamepedia.com/Loyalty"",  ""Loyalty"")",5,"=HYPERLINK(""https://pathofexile.gamepedia.com/Orb_of_Fusing"",  ""3x Orb of Fusing"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Den_(Act_7)"",  ""The Den (Act 7)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Barrows_Map_(Betrayal)"",  ""Barrows Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Grotto_Map_(Betrayal)"",  ""Grotto Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Lair_Map_(Betrayal)"",  ""Lair Map"")","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/Lucky_Connections"",  ""Lucky Connections"")",7,"=HYPERLINK(""https://pathofexile.gamepedia.com/Orb_of_Fusing"",  ""20x Orb of Fusing"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Docks"",  ""The Docks"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Quay"",  ""The Quay"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Pier_Map_(Betrayal)"",  ""Pier Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Port_Map_(Betrayal)"",  ""Port Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Shipyard_Map_(Betrayal)"",  ""Shipyard Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Wharf_Map_(Betrayal)"",  ""Wharf Map"")","",N/A
2.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/Lucky_Deck"",  ""Lucky Deck"")",9,"=HYPERLINK(""https://pathofexile.gamepedia.com/Stacked_Deck"",  ""10x Stacked Deck"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Ramparts_Map_(Betrayal)"",  ""Ramparts Map"")","","","","","","",Also Shaped variants.
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/Lysah%27s_Respite"",  ""Lysah's Respite"")",6,"=HYPERLINK(""https://pathofexile.gamepedia.com/Agate_Amulet"",  ""Agate AmuletCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Maelstr%C3%B6m_of_Chaos_(Betrayal)"",  ""Maelström of Chaos"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Mineral_Pools_Map_(Betrayal)"",  ""Mineral Pools Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Underground_Sea_Map_(Betrayal)"",  ""Underground Sea Map"")","","","","",N/A
13.93,"=HYPERLINK(""https://pathofexile.gamepedia.com/Mawr_Blaidd"",  ""Mawr Blaidd"")",16,"=HYPERLINK(""https://pathofexile.gamepedia.com/Eyes_of_the_Greatwolf"",  ""Eyes of the Greatwolf"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Dark_Forest_Map_(Betrayal)"",  ""Dark Forest Map"")","","","","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/Merciless_Armament"",  ""Merciless Armament"")",4,"=HYPERLINK("""",  ""Merciless Two-Hand WeaponItem Level: 100"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Armoury_Map_(Betrayal)"",  ""Armoury Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Colonnade_Map_(Betrayal)"",  ""Colonnade Map"")","","","","","",N/A
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/Might_is_Right"",  ""Might is Right"")",9,"=HYPERLINK(""https://pathofexile.gamepedia.com/Trypanon"",  ""Trypanon"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Ossuary_(Act_5)"",  ""The Ossuary (Act 5)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Reliquary_(Act_5)"",  ""The Reliquary (Act 5)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Ossuary_(Act_10)"",  ""The Ossuary (Act 10)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Mausoleum_Map_(Betrayal)"",  ""Mausoleum Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Relic_Chambers_Map_(Betrayal)"",  ""Relic Chambers Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Sepulchre_Map_(Betrayal)"",  ""Sepulchre Map"")","",N/A
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/Mitts"",  ""Mitts"")",5,"=HYPERLINK("""",  ""Gloves"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Ascent"",  ""The Ascent"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Solaris_Temple_Level_1_(Act_8)"",  ""The Solaris Temple Level 1 (Act 8)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Solaris_Temple_Level_2_(Act_8)"",  ""The Solaris Temple Level 2 (Act 8)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Iceberg_Map_(Betrayal)"",  ""Iceberg Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Summit_Map_(Betrayal)"",  ""Summit Map"")","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/No_Traces"",  ""No Traces"")",9,"=HYPERLINK(""https://pathofexile.gamepedia.com/Orb_of_Scouring"",  ""30x Orb of Scouring"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Ossuary_(Act_5)"",  ""The Ossuary (Act 5)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Ossuary_(Act_10)"",  ""The Ossuary (Act 10)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Mausoleum_Map_(Betrayal)"",  ""Mausoleum Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Sepulchre_Map_(Betrayal)"",  ""Sepulchre Map"")","","","",N/A
4.99,"=HYPERLINK(""https://pathofexile.gamepedia.com/Perfection"",  ""Perfection"")",5,"=HYPERLINK("""",  ""JewelleryItem Level: 100Shaper Item"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Pit_of_the_Chimera_Map_(Betrayal)"",  ""Pit of the Chimera Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Lair_of_the_Hydra_Map_(Betrayal)"",  ""Lair of the Hydra Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Maze_of_the_Minotaur_Map_(Betrayal)"",  ""Maze of the Minotaur Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Forge_of_the_Phoenix_Map_(Betrayal)"",  ""Forge of the Phoenix Map"")","","","",Drops from the Guardians of the Void.
40.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/Pride_Before_the_Fall"",  ""Pride Before the Fall"")",8,"=HYPERLINK(""https://pathofexile.gamepedia.com/Kaom%27s_Heart"",  ""Kaom's HeartCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Coast_(Act_6)"",  ""The Coast (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Tidal_Island_(Act_6)"",  ""The Tidal Island (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Mud_Flats_(Act_6)"",  ""The Mud Flats (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Karui_Fortress"",  ""The Karui Fortress"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Caldera_Map_(Betrayal)"",  ""Caldera Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Lava_Lake_Map_(Betrayal)"",  ""Lava Lake Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Marshes_Map_(Betrayal)"",  ""Marshes Map"")",N/A
0.46,"=HYPERLINK(""https://pathofexile.gamepedia.com/Prosperity"",  ""Prosperity"")",10,"=HYPERLINK("""",  ""Perandus' Gold Ring"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Tidal_Island_(Act_6)"",  ""The Tidal Island (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Shore_Map_(Betrayal)"",  ""Shore Map"")","","","","","",N/A
0.42,"=HYPERLINK(""https://pathofexile.gamepedia.com/Rain_of_Chaos"",  ""Rain of Chaos"")",8,"=HYPERLINK(""https://pathofexile.gamepedia.com/Chaos_Orb"",  ""Chaos Orb"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Crossroads_(Act_7)"",  ""The Crossroads (Act 7)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Imperial_Fields"",  ""The Imperial Fields"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Castle_Ruins_Map_(Betrayal)"",  ""Castle Ruins Map"")","","","","",N/A
0.59,"=HYPERLINK(""https://pathofexile.gamepedia.com/Rain_Tempter"",  ""Rain Tempter"")",9,"=HYPERLINK(""https://pathofexile.gamepedia.com/Strand_Map_(War_for_the_Atlas)"",  ""Strand MapItem Level: 73"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Grotto_Map_(Betrayal)"",  ""Grotto Map"")","","","","","","",N/A
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/Rats"",  ""Rats"")",8,"=HYPERLINK(""https://pathofexile.gamepedia.com/Rat%27s_Nest"",  ""Rat's Nest"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Imperial_Fields"",  ""The Imperial Fields"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Grain_Gate"",  ""The Grain Gate"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Factory_Map_(Betrayal)"",  ""Factory Map"")","","","","",N/A
3.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/Rebirth_(divination_card)"",  ""Rebirth"")",27,"=HYPERLINK(""https://pathofexile.gamepedia.com/Charan%27s_Sword"",  ""Charan's Sword"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Slave_Pens"",  ""The Slave Pens"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Ruined_Square"",  ""The Ruined Square"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Desecrated_Chambers"",  ""The Desecrated Chambers"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Control_Blocks"",  ""The Control Blocks"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Reliquary_(Act_10)"",  ""The Reliquary (Act 10)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Broken_Bridge_(Act_7)"",  ""The Broken Bridge (Act 7)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Crypt_(Act_7)"",  ""The Crypt (Act 7)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Blood_Aqueduct"",  ""The Blood Aqueduct"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Vastiri_Desert"",  ""The Vastiri Desert"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Foothills"",  ""The Foothills"")",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/Scholar_of_the_Seas"",  ""Scholar of the Seas"")",7,"=HYPERLINK(""https://pathofexile.gamepedia.com/Mao_Kun_(War_for_the_Atlas)"",  ""Mao Kun"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Brine_King%27s_Reef"",  ""The Brine King's Reef"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Coves_Map_(Betrayal)"",  ""Coves Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Reef_Map_(Betrayal)"",  ""Reef Map"")","","","","",N/A
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/Shard_of_Fate"",  ""Shard of Fate"")",4,"=HYPERLINK("""",  ""Vivid Jewel"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Chamber_of_Sins_Level_2_(Act_7)"",  ""The Chamber of Sins Level 2 (Act 7)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Museum_Map_(Betrayal)"",  ""Museum Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Overgrown_Ruin_Map_(Betrayal)"",  ""Overgrown Ruin Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Overgrown_Shrine_Map_(Betrayal)"",  ""Overgrown Shrine Map"")","","","",N/A
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/Struck_by_Lightning"",  ""Struck by Lightning"")",3,"=HYPERLINK("""",  ""Electrocuting JewelleryItem Level: 76"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Cemetery_Map_(Betrayal)"",  ""Cemetery Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Courtyard_Map_(Betrayal)"",  ""Courtyard Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Graveyard_Map_(Betrayal)"",  ""Graveyard Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Infested_Valley_Map_(Betrayal)"",  ""Infested Valley Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Leyline_Map_(Betrayal)"",  ""Leyline Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Promenade_Map_(Betrayal)"",  ""Promenade Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Shipyard_Map_(Betrayal)"",  ""Shipyard Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Wharf_Map_(Betrayal)"",  ""Wharf Map"")",N/A
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Admirer"",  ""The Admirer"")",9,"=HYPERLINK("""",  ""Atziri Item"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Ancient_City_Map_(Betrayal)"",  ""Ancient City Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Maze_Map_(Betrayal)"",  ""Maze Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Vaal_Pyramid_Map_(Betrayal)"",  ""Vaal Pyramid Map"")","","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Aesthete"",  ""The Aesthete"")",8,"=HYPERLINK("""",  ""Shavronne Item"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Harvest_(area)"",  ""The Harvest (area)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Core_Map_(Betrayal)"",  ""Core Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Scriptorium_Map_(Betrayal)"",  ""Scriptorium Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Tower_Map_(Betrayal)"",  ""Tower Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Tribunal_Map_(Betrayal)"",  ""Tribunal Map"")","","",Shavronne or corresponding bosses
0.8,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Arena_Champion"",  ""The Arena Champion"")",10,"=HYPERLINK(""https://pathofexile.gamepedia.com/Colosseum_Map_(War_for_the_Atlas)"",  ""Colosseum Map"")","","","","","","","",N/A
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Army_of_Blood"",  ""The Army of Blood"")",6,"=HYPERLINK(""https://pathofexile.gamepedia.com/Bloodbond"",  ""Bloodbond"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Shrine_Map_(Betrayal)"",  ""Shrine Map"")","","","","","","",N/A
24.42,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Artist"",  ""The Artist"")",11,"=HYPERLINK(""https://pathofexile.gamepedia.com/Corrupted"",  ""Level 4 EnhanceCorrupted"")","","","","","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Avenger"",  ""The Avenger"")",12,"=HYPERLINK(""https://pathofexile.gamepedia.com/Mj%C3%B6lner"",  ""MjölnerCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Torture_Chamber_Map_(Betrayal)"",  ""Torture Chamber Map"")","","","","","","",N/A
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Battle_Born"",  ""The Battle Born"")",5,"=HYPERLINK("""",  ""Axe"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Kaom%27s_Dream"",  ""Kaom's Dream"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Kaom%27s_Stronghold"",  ""Kaom's Stronghold"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Caldera_Map_(Betrayal)"",  ""Caldera Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Volcano_Map_(Betrayal)"",  ""Volcano Map"")","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Beast"",  ""The Beast"")",6,"=HYPERLINK(""https://pathofexile.gamepedia.com/Belly_of_the_Beast"",  ""Belly of the Beast"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Belly_of_the_Beast_Level_1"",  ""The Belly of the Beast Level 1"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Belly_of_the_Beast_Level_2"",  ""The Belly of the Beast Level 2"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Belly_of_the_Beast_(Act_9)"",  ""The Belly of the Beast (Act 9)"")","","","","",N/A
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Betrayal"",  ""The Betrayal"")",9,"=HYPERLINK(""https://pathofexile.gamepedia.com/Maligaro%27s_Virtuosity"",  ""Maligaro's Virtuosity"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Riverways_(Act_6)"",  ""The Riverways (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Southern_Forest_(Act_6)"",  ""The Southern Forest (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Western_Forest_(Act_6)"",  ""The Western Forest (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Crossroads_(Act_7)"",  ""The Crossroads (Act 7)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Northern_Forest_(Act_7)"",  ""The Northern Forest (Act 7)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Burial_Chambers_Map_(Betrayal)"",  ""Burial Chambers Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Mesa_Map_(Betrayal)"",  ""Mesa Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Springs_Map_(Betrayal)"",  ""Springs Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Strand_Map_(Betrayal)"",  ""Strand Map"")",N/A
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Blazing_Fire"",  ""The Blazing Fire"")",6,"=HYPERLINK(""https://pathofexile.gamepedia.com/Chin_Sol"",  ""Chin Sol"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Ruined_Square"",  ""The Ruined Square"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Torched_Courts_(Act_5)"",  ""The Torched Courts (Act 5)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Ravaged_Square"",  ""The Ravaged Square"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Torched_Courts_(Act_10)"",  ""The Torched Courts (Act 10)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Alleyways_Map_(Betrayal)"",  ""Alleyways Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Haunted_Mansion_Map_(Betrayal)"",  ""Haunted Mansion Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Siege_Map_(Betrayal)"",  ""Siege Map"")",N/A
2.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Body"",  ""The Body"")",4,"=HYPERLINK("""",  ""Body Armour"")","","","","","","","",Can drop from an Armourer's Strongbox.
4.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Breach"",  ""The Breach"")",4,"=HYPERLINK("""",  ""Breach Item"")","","","","","","","",Drops from Null Portals that spawn in Elder-Influenced maps.
12.66,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Brittle_Emperor"",  ""The Brittle Emperor"")",8,"=HYPERLINK(""https://pathofexile.gamepedia.com/Voll%27s_Devotion"",  ""Voll's DevotionCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Dried_Lake"",  ""The Dried Lake"")","","","","","","","Voll, Emperor of Purity or corresponding bosses (The Brittle Emperor)"
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Cacophony"",  ""The Cacophony"")",8,"=HYPERLINK("""",  ""3x Deafening Essence"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Maelstr%C3%B6m_of_Chaos_(Betrayal)"",  ""Maelström of Chaos"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Crimson_Temple_Map_(Betrayal)"",  ""Crimson Temple Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Excavation_Map_(Betrayal)"",  ""Excavation Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Mineral_Pools_Map_(Betrayal)"",  ""Mineral Pools Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Sepulchre_Map_(Betrayal)"",  ""Sepulchre Map"")","","",N/A
0.58,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Calling"",  ""The Calling"")",6,"=HYPERLINK("""",  ""Beyond Item"")","","","","","","","",Beyond Demons
0.38,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Carrion_Crow"",  ""The Carrion Crow"")",4,"=HYPERLINK("""",  ""Life Armour"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Western_Forest_(Act_2)"",  ""The Western Forest (Act 2)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_City_of_Sarn"",  ""The City of Sarn"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Ebony_Barracks"",  ""The Ebony Barracks"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Battlefront"",  ""The Battlefront"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Aqueduct"",  ""The Aqueduct"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Ascent"",  ""The Ascent"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Grand_Promenade"",  ""The Grand Promenade"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Colonnade_Map_(Betrayal)"",  ""Colonnade Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Courtyard_Map_(Betrayal)"",  ""Courtyard Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Promenade_Map_(Betrayal)"",  ""Promenade Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Ramparts_Map_(Betrayal)"",  ""Ramparts Map"")",N/A
3.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Cartographer"",  ""The Cartographer"")",1,"=HYPERLINK(""https://pathofexile.gamepedia.com/Cartographer%27s_Chisel"",  ""10x Cartographer's Chisel"")","","","","","","","",Cartographer's Strongbox
